County,State,Population,Area in square miles - Land area,Population sq mi land,Housing units sq mi
Genesee,New York,"57,280",492.94,121.9,51.9
Greene,New York,"47,188",647.16,76.1,45.1
Hamilton,New York,"4,416",1717.37,2.8,5.1
Herkimer,New York,"61,319",1411.47,45.7,23.6
Jefferson,New York,"109,834",1268.59,91.6,45.7
Lewis,New York,"26,296",1274.68,21.3,11.9
Livingston,New York,"62,914",631.76,103.5,42.9
Madison,New York,"70,941",654.84,112.2,48.5
Monroe,New York,"741,770",657.21,1132.6,487.8
Montgomery,New York,"49,221",403.04,124.6,57.2
Nassau,New York,"1,356,924",284.72,4704.8,1645
New York City,New York,"8,398,748",302.64,27752,11629.6
Niagara,New York,"209,281",522.36,414.4,189.8
Oneida,New York,"228,671",1212.43,193.7,85.9
Onondaga,New York,"460,528",778.39,600,260
Ontario,New York,"109,777",644.07,167.6,74.8
Orange,New York,"384,940",811.69,459.3,168.8
Orleans,New York,"40,352",391.26,109.6,47.1
Oswego,New York,"117,124",951.65,128.3,56.3
Otsego,New York,"59,493",1001.7,62.2,30.7
Putnam,New York,"98,320",230.31,432.9,166
Rensselaer,New York,"158,714",652.43,244.4,109.6
Rockland,New York,"325,789",173.55,1795.9,599.6
St. Lawrence,New York,"107,740",2680.38,41.8,19.4
Saratoga,New York,"229,863",809.98,271.1,121.8
Schenectady,New York,"155,299",204.52,756.6,333.5
Schoharie,New York,"30,999",621.82,52.7,27.7
Schuyler,New York,"17,807",328.33,55.9,28.8
Seneca,New York,"34,016",323.71,108.9,49.6
Steuben,New York,"95,379",1390.56,71.2,35.1
Suffolk,New York,"1,476,601",912.05,1637.4,624.9
Sullivan,New York,"75,432",968.13,80.1,50.8
Tioga,New York,"48,203",518.6,98.6,42.8
Tompkins,New York,"102,180",474.65,214,87.8
Ulster,New York,"177,573",1124.24,162.3,74.4
Warren,New York,"63,944",866.95,75.8,44.7
Washington,New York,"61,204",831.18,76.1,34.7
Wayne,New York,"89,918",603.83,155.3,68
Westchester,New York,"967,506",430.5,2204.7,861.4
Wyoming,New York,"39,859",592.75,71.1,30.3
Yates,New York,"24,913",338.14,75,39.9
Alamance,North Carolina,"169,509",423.94,356.5,157
Alexander,North Carolina,"37,497",259.99,143.1,62.3
Alleghany,North Carolina,"11,137",235.06,47.5,34.4
Anson,North Carolina,"24,446",531.45,50.7,21.8
Ashe,North Carolina,"27,203",426.13,64,40.7
Avery,North Carolina,"17,557",247.09,72,56.2
Beaufort,North Carolina,"46,994",827.19,57.7,29.8
Bertie,North Carolina,"18,947",699.27,30.4,14
Bladen,North Carolina,"32,722",874.33,40.2,20.3
Brunswick,North Carolina,"142,820",846.97,126.8,91.5
Buncombe,North Carolina,"261,191",656.67,362.9,172.6
Burke,North Carolina,"90,485",507.1,179.3,80.6
Cabarrus,North Carolina,"216,453",361.75,492.1,198.9
Caldwell,North Carolina,"82,178",471.57,176.1,79.9
Camden,North Carolina,"10,867",240.56,41.5,17.1
Carteret,North Carolina,"69,473",506.25,131.3,95.2
Caswell,North Carolina,"22,604",424.92,55.8,25
Catawba,North Carolina,"159,551",398.72,387.1,170.3
Chatham,North Carolina,"74,470",682.19,93.1,42.1
Cherokee,North Carolina,"28,612",455.43,60.3,38.5
Chowan,North Carolina,"13,943",172.47,85.8,42.3
Clay,North Carolina,"11,231",214.75,49.3,33.2
Cleveland,North Carolina,"97,947",464.25,211.3,93.4
Columbus,North Carolina,"55,508",937.29,62,27.8
Craven,North Carolina,"102,139",708.96,146,63.5
Cumberland,North Carolina,"335,509",652.31,489.7,207.8
Currituck,North Carolina,"27,763",261.85,89.9,55.2
Dare,North Carolina,"37,009",383.42,88.5,87.4
Davidson,North Carolina,"167,609",552.67,294.7,131.5
Davie,North Carolina,"42,846",264.11,156.1,69.1
Duplin,North Carolina,"58,741",816.22,71.7,31.5
Durham,North Carolina,"321,488",285.98,935.7,420.4
Edgecombe,North Carolina,"51,472",505.34,111.9,49.2
Forsyth,North Carolina,"382,295",408.15,859.2,384.4
Franklin,North Carolina,"69,685",491.68,123.3,54.1
Gaston,North Carolina,"224,529",356.03,578.8,249.1
Gates,North Carolina,"11,562",340.44,35.8,15.3
Graham,North Carolina,"8,441",292.08,30.3,20.3
Granville,North Carolina,"60,443",531.57,112.7,42.9
Greene,North Carolina,"21,069",265.93,80.3,30.9
Guilford,North Carolina,"537,174",645.7,756.4,337.6
Halifax,North Carolina,"50,010",724.09,75.5,35.6
Harnett,North Carolina,"135,976",594.99,192.7,78.5
Haywood,North Carolina,"62,317",553.69,106.6,63.1
Henderson,North Carolina,"117,417",373.07,286.1,146.6
Hertford,North Carolina,"23,677",353.06,69.9,30.1
Hoke,North Carolina,"55,234",390.74,120.2,46.6
Hyde,North Carolina,"4,937",612.7,9.5,5.5
Iredell,North Carolina,"181,806",573.83,277.8,120.3
Jackson,North Carolina,"43,938",490.75,82.1,52.9
Johnston,North Carolina,"209,339",791.3,213.4,85.5
Jones,North Carolina,"9,419",470.71,21.6,10.3
Lee,North Carolina,"61,779",254.96,227,94.7
Lenoir,North Carolina,"55,949",400.59,148.5,68.5
Lincoln,North Carolina,"86,111",297.94,262.7,112.9
McDowell,North Carolina,"45,756",440.61,102.1,47.2
Macon,North Carolina,"35,858",515.56,65.8,49
Madison,North Carolina,"21,755",449.57,46.2,23.6
Martin,North Carolina,"22,440",461.22,53.1,25.4
Mecklenburg,North Carolina,"1,110,356",523.84,1755.5,760.7
Mitchell,North Carolina,"14,964",221.42,70.4,39.3
Montgomery,North Carolina,"27,173",491.76,56.5,32.4
Moore,North Carolina,"100,880",697.84,126.5,63
Nash,North Carolina,"94,298",540.41,177.3,78.2
New Hanover,North Carolina,"234,473",191.53,1058.1,529.6
Northampton,North Carolina,"19,483",536.59,41.2,21.8
Onslow,North Carolina,"197,938",762.74,233.1,89.4
Orange,North Carolina,"148,476",397.96,336.2,139.7
Pamlico,North Carolina,"12,726",336.54,39.1,22.4
Pasquotank,North Carolina,"39,824",226.88,179.2,74.2
Pender,North Carolina,"63,060",869.79,60,30.7
Perquimans,North Carolina,"13,463",247.09,54.4,28.3
Person,North Carolina,"39,490",392.32,100.6,46.4
Pitt,North Carolina,"180,742",651.97,257.9,115
Polk,North Carolina,"20,724",237.79,86.3,48.1
Randolph,North Carolina,"143,667",782.52,181.1,78
Richmond,North Carolina,"44,829",473.82,98.4,43.8
Robeson,North Carolina,"130,625",949.22,141.3,55.6
Rockingham,North Carolina,"91,010",565.55,165.6,77.3
Rowan,North Carolina,"142,088",511.37,270.7,117.7
Rutherford,North Carolina,"67,029",564.15,120.2,60.1
Sampson,North Carolina,"63,531",944.74,67.1,28.8
Scotland,North Carolina,"34,823",318.84,113.4,47.7
Stanly,North Carolina,"62,806",395.09,153.3,68.6
Stokes,North Carolina,"45,591",448.86,105.6,48.8
Surry,North Carolina,"71,783",532.17,138.4,63.3
Swain,North Carolina,"14,271",528,26.5,16.5
Transylvania,North Carolina,"34,385",378.53,87.4,50.6
Tyrrell,North Carolina,"4,016",389.03,11.3,5.3
Union,North Carolina,"239,859",631.52,318.7,115.4
Vance,North Carolina,"44,535",253.52,179.2,79.2
Wake,North Carolina,"1,111,761",835.22,1078.8,445.2
Warren,North Carolina,"19,731",428.46,48.9,27.6
Washington,North Carolina,"11,580",348.13,38,18.6
Watauga,North Carolina,"56,177",312.56,163.4,102.8
Wayne,North Carolina,"123,131",553.09,221.7,95.7
Wilkes,North Carolina,"68,412",754.28,91.9,43.8
Wilson,North Carolina,"81,801",368.17,220.6,96.5
Yadkin,North Carolina,"37,667",334.83,114.7,51.8
Yancey,North Carolina,"18,069",312.6,57,35.3
Adams,North Dakota,"2,216",987.62,2.4,1.4
Barnes,North Dakota,"10,415",1491.55,7.4,3.8
Benson,North Dakota,"6,832",1388.71,4.8,2.1
Billings,North Dakota,928,1148.85,0.7,0.4
Bottineau,North Dakota,"6,282",1668.42,3.9,2.6
Bowman,North Dakota,"3,024",1161.81,2.7,1.4
Burke,North Dakota,"2,115",1103.57,1.8,1.2
Burleigh,North Dakota,"95,626",1632.65,49.8,21.9
Cass,North Dakota,"181,923",1764.94,84.9,38.5
Cavalier,North Dakota,"3,762",1488.75,2.7,1.6
Dickey,North Dakota,"4,872",1131.47,4.7,2.3
Divide,North Dakota,"2,264",1260.79,1.6,1.1
Dunn,North Dakota,"4,424",2008.46,1.8,1.1
Eddy,North Dakota,"2,287",630.17,3.8,2.1
Emmons,North Dakota,"3,241",1510.43,2.4,1.4
Foster,North Dakota,"3,210",635.45,5.3,2.8
Golden Valley,North Dakota,"1,761",1000.79,1.7,1
Grand Forks,North Dakota,"69,451",1436.38,46.5,20.4
Grant,North Dakota,"2,274",1659.14,1.4,1
Griggs,North Dakota,"2,231",708.81,3.4,2.1
Hettinger,North Dakota,"2,499",1132.22,2.2,1.2
Kidder,North Dakota,"2,480",1351.19,1.8,1.2
LaMoure,North Dakota,"4,046",1145.94,3.6,2
Logan,North Dakota,"1,850",992.82,2,1.2
McHenry,North Dakota,"5,745",1873.95,2.9,1.6
McIntosh,North Dakota,"2,497",974.73,2.9,1.9
McKenzie,North Dakota,"15,024",2760.32,2.3,1.1
McLean,North Dakota,"9,450",2110.88,4.2,2.6
Mercer,North Dakota,"8,187",1042.96,8.1,4.3
Morton,North Dakota,"31,364",1926.27,14.3,6.3
Mountrail,North Dakota,"10,545",1825.3,4.2,2.3
Nelson,North Dakota,"2,879",981.77,3.2,2
Oliver,North Dakota,"1,959",722.51,2.6,1.3
Pembina,North Dakota,"6,801",1118.69,6.6,3.4
Pierce,North Dakota,"3,975",1018.6,4.3,2.2
Ramsey,North Dakota,"11,519",1186.85,9.6,4.7
Ransom,North Dakota,"5,218",862.36,6.3,3.1
Renville,North Dakota,"2,327",877.05,2.8,1.6
Richland,North Dakota,"16,177",1435.78,11.4,5.2
Rolette,North Dakota,"14,176",903.08,15.4,5.9
Sargent,North Dakota,"3,898",858.51,4.5,2.3
Sheridan,North Dakota,"1,315",972.38,1.4,0.9
Sioux,North Dakota,"4,230",1094.09,3.8,1.2
Slope,North Dakota,750,1214.92,0.6,0.4
Stark,North Dakota,"31,489",1334.74,18.1,8
Steele,North Dakota,"1,890",712.22,2.8,1.6
Stutsman,North Dakota,"20,704",2221.72,9.5,4.4
Towner,North Dakota,"2,189",1024.56,2.2,1.4
Traill,North Dakota,"8,036",861.95,9.4,4.4
Walsh,North Dakota,"10,641",1281.93,8.7,4.3
Ward,North Dakota,"67,641",2013.28,30.6,13.3
Wells,North Dakota,"3,834",1271.05,3.3,2
Williams,North Dakota,"37,589",2077.4,10.8,5
Adams,Ohio,"27,698",583.87,48.9,22.2
Allen,Ohio,"102,351",402.5,264.2,111.8
Ashland,Ohio,"53,484",422.95,125.6,52.3
Ashtabula,Ohio,"97,241",701.93,144.6,65.7
Athens,Ohio,"65,327",503.6,128.6,52.4
Auglaize,Ohio,"45,656",401.39,114.5,48.8
Belmont,Ohio,"67,006",532.13,132.3,61
Brown,Ohio,"43,432",490.02,91.5,39.4
Butler,Ohio,"383,134",467.06,788.2,317.5
Carroll,Ohio,"26,914",394.61,73.1,34.7
Champaign,Ohio,"38,885",428.67,93.5,39.1
Clark,Ohio,"134,083",397.47,348,154.5
Clermont,Ohio,"206,428",452.1,436.5,178.4
Clinton,Ohio,"41,968",408.68,102.9,44.4
Columbiana,Ohio,"101,883",531.89,202.7,88.5
Coshocton,Ohio,"36,600",563.91,65.4,29.3
Crawford,Ohio,"41,494",401.79,109,50.2
Cuyahoga,Ohio,"1,235,072",457.19,2800,1360
Darke,Ohio,"51,113",598.1,88.5,38
Defiance,Ohio,"38,087",411.46,94.9,40.7
Delaware,Ohio,"209,177",443.1,393.2,149.8
Erie,Ohio,"74,266",251.56,306.4,150.4
Fairfield,Ohio,"157,574",504.41,289.8,116.3
Fayette,Ohio,"28,525",406.36,71.4,31.2
Franklin,Ohio,"1,316,756",532.19,2186.1,990.6
Fulton,Ohio,"42,126",405.44,105.3,42.9
Gallia,Ohio,"29,898",466.53,66.3,29.8
Geauga,Ohio,"93,649",400.16,233.4,91.4
Greene,Ohio,"168,937",413.73,390.5,164.9
Guernsey,Ohio,"38,875",522.25,76.8,36.8
Hamilton,Ohio,"817,473",405.91,1976.7,929.7
Hancock,Ohio,"75,783",531.36,140.7,62.4
Hardin,Ohio,"31,365",470.4,68.1,27.8
Harrison,Ohio,"15,040",402.34,39.4,20.3
Henry,Ohio,"27,006",416.01,67.8,28.8
Highland,Ohio,"43,161",553.08,78.8,35
Hocking,Ohio,"28,264",421.32,69.7,31.8
Holmes,Ohio,"43,960",422.53,100.3,32.3
Huron,Ohio,"58,266",491.49,121.3,51.3
Jackson,Ohio,"32,413",420.3,79,34.7
Jefferson,Ohio,"65,325",408.33,170.7,80.4
Knox,Ohio,"62,322",525.49,115.9,47.8
Lake,Ohio,"230,149",227.49,1011.2,444.9
Lawrence,Ohio,"59,463",453.37,137.7,60.9
Licking,Ohio,"176,862",682.5,243.9,101.5
Logan,Ohio,"45,672",458.43,100,50.6
Lorain,Ohio,"309,833",491.1,613.6,258.7
Lucas,Ohio,"428,348",340.86,1296.2,594.5
Madison,Ohio,"44,731",465.88,93.2,34.2
Mahoning,Ohio,"228,683",411.62,580.2,271.7
Marion,Ohio,"65,093",403.76,164.7,68.9
Medina,Ohio,"179,746",421.36,409,164.2
Meigs,Ohio,"22,907",430.1,55.3,26
Mercer,Ohio,"41,172",462.45,88.3,38.1
Miami,Ohio,"106,987",406.58,252.1,108.8
Monroe,Ohio,"13,654",455.72,32.1,16.6
Montgomery,Ohio,"531,687",461.55,1159.5,552
Morgan,Ohio,"14,508",416.42,36.2,19
Morrow,Ohio,"35,328",406.08,85.8,34.9
Muskingum,Ohio,"86,215",664.58,129.5,57.3
Noble,Ohio,"14,424",398.01,36.8,15.2
Ottawa,Ohio,"40,525",254.92,162.5,109.5
Paulding,Ohio,"18,672",416.44,47.1,21
Perry,Ohio,"36,134",407.97,88.4,37.3
Pickaway,Ohio,"58,457",501.32,111.1,42.4
Pike,Ohio,"27,772",440.28,65.2,28.3
Portage,Ohio,"162,466",487.38,331.2,138.4
Preble,Ohio,"40,882",424.12,99.7,42.2
Putnam,Ohio,"33,861",482.52,71.5,28.5
Richland,Ohio,"121,154",495.27,251.3,110.2
Ross,Ohio,"76,666",689.19,113.3,46.6
Sandusky,Ohio,"58,518",408.45,149.2,64.6
Scioto,Ohio,"75,314",610.21,130.3,56
Seneca,Ohio,"55,178",551.02,103,43.8
Shelby,Ohio,"48,590",407.68,121.2,49.5
Stark,Ohio,"370,606",575.27,652.9,287.2
Summit,Ohio,"541,013",412.75,1312.6,593.8
Trumbull,Ohio,"197,974",618.3,340.1,155.5
Tuscarawas,Ohio,"91,987",567.64,163.1,70.8
Union,Ohio,"58,988",431.73,121.1,45
Van Wert,Ohio,"28,275",409.16,70.3,30.8
Vinton,Ohio,"13,085",412.36,32.6,15.3
Warren,Ohio,"234,602",401.31,530,201.2
Washington,Ohio,"59,911",631.97,97.8,44.9
Wayne,Ohio,"115,710",554.93,206.4,82.6
Williams,Ohio,"36,692",420.97,89.4,39.6
Wood,Ohio,"130,817",617.2,203.3,86.5
Wyandot,Ohio,"21,772",406.86,55.6,24.3
Adair,Oklahoma,"22,194",573.48,39.6,15.9
Alfalfa,Oklahoma,"5,702",866.45,6.5,3.2
Atoka,Oklahoma,"13,758",975.52,14.5,6.5
Beaver,Oklahoma,"5,311",1814.67,3.1,1.5
Beckham,Oklahoma,"21,859",901.81,24.5,10.7
Blaine,Oklahoma,"9,429",928.42,12.9,5.6
Bryan,Oklahoma,"47,995",904.47,46.9,21.7
Caddo,Oklahoma,"28,762",1278.29,23.2,10.3
Canadian,Oklahoma,"148,306",896.63,128.9,51.1
Carter,Oklahoma,"48,111",822.18,57.8,25.7
Cherokee,Oklahoma,"48,657",749.41,62.7,28.6
Choctaw,Oklahoma,"14,672",770.36,19.7,9.8
Cimarron,Oklahoma,"2,137",1834.74,1.3,0.9
Cleveland,Oklahoma,"284,014",538.77,474.7,194.6
Coal,Oklahoma,"5,495",516.68,11.5,5.4
Comanche,Oklahoma,"120,749",1069.29,116.1,47.5
Cotton,Oklahoma,"5,666",632.65,9.8,4.8
Craig,Oklahoma,"14,142",761.35,19.7,8.9
Creek,Oklahoma,"71,522",950.14,73.6,31.3
Custer,Oklahoma,"29,003",988.82,27.8,12.3
Delaware,Oklahoma,"43,009",738.18,56.2,33.6
Dewey,Oklahoma,"4,891",999.48,4.8,2.4
Ellis,Oklahoma,"3,859",1231.52,3.4,1.9
Garfield,Oklahoma,"61,056",1058.47,57.2,25.3
Garvin,Oklahoma,"27,711",802.12,34.4,16
Grady,Oklahoma,"55,834",1100.5,47.6,20.2
Grant,Oklahoma,"4,333",1000.87,4.5,2.5
Greer,Oklahoma,"5,712",639.32,9.8,4.3
Harmon,Oklahoma,"2,653",537.19,5.4,2.9
Harper,Oklahoma,"3,688",1039.02,3.5,1.8
Haskell,Oklahoma,"12,627",576.52,22.1,10.5
Hughes,Oklahoma,"13,279",804.65,17.4,7.7
Jackson,Oklahoma,"24,530",802.65,32.9,15
Jefferson,Oklahoma,"6,002",758.83,8.5,4.5
Johnston,Oklahoma,"11,085",642.94,17,8
Kay,Oklahoma,"43,538",919.73,50.6,23.6
Kingfisher,Oklahoma,"15,765",898.16,16.7,7.1
Kiowa,Oklahoma,"8,708",1015.23,9.3,5.1
Latimer,Oklahoma,"10,073",722.08,15.4,6.9
Le Flore,Oklahoma,"49,853",1589.21,31.7,13.5
Lincoln,Oklahoma,"34,877",952.31,36,16
Logan,Oklahoma,"48,011",743.83,56.3,23.1
Love,Oklahoma,"10,253",514,18.3,8.8
McClain,Oklahoma,"40,474",570.7,60.5,24.5
McCurtain,Oklahoma,"32,832",1850.01,17.9,8.4
McIntosh,Oklahoma,"19,596",618.5,32.7,21.6
Major,Oklahoma,"7,629",954.99,7.9,3.8
Marshall,Oklahoma,"16,931",371.08,42.7,27
Mayes,Oklahoma,"41,100",655.39,63,29.4
Murray,Oklahoma,"14,073",416.46,32.4,16.2
Muskogee,Oklahoma,"67,997",810.45,87.6,38.1
Noble,Oklahoma,"11,131",731.9,15.8,7.3
Nowata,Oklahoma,"10,076",565.78,18.6,8.5
Okfuskee,Oklahoma,"11,993",618.57,19.7,8.5
Oklahoma,Oklahoma,"797,434",708.82,1013.8,451.2
Okmulgee,Oklahoma,"38,465",697.35,57.5,25.7
Osage,Oklahoma,"46,963",2246.36,21.1,9.4
Ottawa,Oklahoma,"31,127",470.82,67.6,29.9
Pawnee,Oklahoma,"16,376",567.95,29.2,13.6
Payne,Oklahoma,"81,784",684.7,113,49.6
Pittsburg,Oklahoma,"43,654",1305.46,35.1,17.3
Pontotoc,Oklahoma,"38,284",720.44,52,23
Pottawatomie,Oklahoma,"72,592",787.67,88.2,37
Pushmataha,Oklahoma,"11,096",1395.84,8.3,4.4
Roger Mills,Oklahoma,"3,583",1141.14,3.2,1.7
Rogers,Oklahoma,"92,459",675.63,128.6,52
Seminole,Oklahoma,"24,258",632.84,40.3,18.4
Sequoyah,Oklahoma,"41,569",673.27,63,27.7
Stephens,Oklahoma,"43,143",870.24,51.8,23.7
Texas,Oklahoma,"19,983",2041.26,10.1,4
Tillman,Oklahoma,"7,250",871.13,9.2,4.7
Tulsa,Oklahoma,"651,552",570.25,1058.1,470.7
Wagoner,Oklahoma,"81,289",561.56,130.1,52.9
Washington,Oklahoma,"51,527",415.45,122.7,56.4
Washita,Oklahoma,"10,916",1003.17,11.6,5.5
Woods,Oklahoma,"8,793",1286.45,6.9,3.5
Woodward,Oklahoma,"20,211",1242.4,16.2,7.1
Baker,Oregon,"16,124",3068.36,5.3,2.9
Benton,Oregon,"93,053",675.94,126.6,53.6
Clackamas,Oregon,"418,187",1870.32,201,83.9
Clatsop,Oregon,"40,224",829.05,44.7,26
Columbia,Oregon,"52,354",657.36,75.1,31.5
Coos,Oregon,"64,487",1596.17,39.5,19.2
Crook,Oregon,"24,404",2979.09,7,3.4
Curry,Oregon,"22,925",1627.46,13.7,7.8
Deschutes,Oregon,"197,692",3018.19,52.3,26.6
Douglas,Oregon,"110,980",5036.07,21.4,9.7
Gilliam,Oregon,"1,912",1204.81,1.6,1
Grant,Oregon,"7,199",4528.54,1.6,1
Harney,Oregon,"7,393",10133.17,0.7,0.4
Hood River,Oregon,"23,382",521.95,42.8,17.8
Jackson,Oregon,"220,944",2783.55,73,32.7
Jefferson,Oregon,"24,658",1780.78,12.2,5.5
Josephine,Oregon,"87,487",1639.67,50.4,23.2
Klamath,Oregon,"68,238",5941.05,11.2,5.5
Lake,Oregon,"7,869",8138.98,1,0.5
Lane,Oregon,"382,067",4553.12,77.2,34.3
Lincoln,Oregon,"49,962",979.77,47,31.2
Linn,Oregon,"129,749",2290.13,50.9,21.3
Malheur,Oregon,"30,571",9887.53,3.2,1.2
Marion,Oregon,"347,818",1182.33,266.7,102.3
Morrow,Oregon,"11,603",2031.61,5.5,2.2
Multnomah,Oregon,"812,855",431.3,1704.9,753.2
Polk,Oregon,"86,085",740.79,101.8,40.9
Sherman,Oregon,"1,780",823.69,2.1,1.1
Tillamook,Oregon,"27,036",1102.58,22.9,16.7
Umatilla,Oregon,"77,950",3215.51,23.6,9.2
Union,Oregon,"26,835",2036.61,12.6,5.6
Wallowa,Oregon,"7,208",3146.19,2.2,1.3
Wasco,Oregon,"26,682",2381.52,10.6,4.8
Washington,Oregon,"601,592",724.23,731.4,293.3
Wheeler,Oregon,"1,332",1714.75,0.8,0.5
Yamhill,Oregon,"107,100",715.86,138.6,51.8
Adams,Pennsylvania,"103,009",518.67,195.5,78.7
Allegheny,Pennsylvania,"1,216,045",730.07,1675.6,807
Armstrong,Pennsylvania,"64,735",653.2,105.5,49.8
Beaver,Pennsylvania,"163,929",434.71,392.3,179.9
Bedford,Pennsylvania,"47,888",1012.3,49.2,23.7
Berks,Pennsylvania,"421,164",856.51,480.4,192.4
Blair,Pennsylvania,"121,829",525.8,241.7,107
Bradford,Pennsylvania,"60,323",1147.4,54.6,26.1
Bucks,Pennsylvania,"628,270",604.31,1034.7,407
Butler,Pennsylvania,"187,853",788.6,233.1,99.1
Cambria,Pennsylvania,"130,192",688.35,208.7,95.4
Cameron,Pennsylvania,"4,447",396.23,12.8,11.2
Carbon,Pennsylvania,"64,182",381.46,171.1,89.9
Centre,Pennsylvania,"162,385",1109.92,138.7,57
Chester,Pennsylvania,"524,989",750.51,664.7,256.4
Clarion,Pennsylvania,"38,438",600.83,66.6,33.2
Clearfield,Pennsylvania,"79,255",1144.72,71.3,33.8
Clinton,Pennsylvania,"38,632",887.98,44.2,21.5
Columbia,Pennsylvania,"64,964",483.11,139.3,61.1
Crawford,Pennsylvania,"84,629",1012.3,87.7,44.1
Cumberland,Pennsylvania,"253,370",545.46,431.6,183.3
Dauphin,Pennsylvania,"278,299",525.05,510.6,229.3
Delaware,Pennsylvania,"566,747",183.84,3040.5,1212.5
Elk,Pennsylvania,"29,910",827.36,38.6,21.3
Erie,Pennsylvania,"269,728",799.15,351.1,149.1
Fayette,Pennsylvania,"129,274",790.34,172.8,79.4
Forest,Pennsylvania,"7,247",427.19,18.1,20.5
Franklin,Pennsylvania,"155,027",772.22,193.7,81.9
Fulton,Pennsylvania,"14,530",437.55,33.9,16.3
Greene,Pennsylvania,"36,233",575.95,67.2,28.6
Huntingdon,Pennsylvania,"45,144",874.64,52.5,25.6
Indiana,Pennsylvania,"84,073",827.03,107.5,46.2
Jefferson,Pennsylvania,"43,425",652.43,69.3,34.4
Juniata,Pennsylvania,"24,763",391.35,63,28.1
Lackawanna,Pennsylvania,"209,674",459.08,467.1,210.9
Lancaster,Pennsylvania,"545,724",943.81,550.4,215
Lawrence,Pennsylvania,"85,512",358.18,254.4,114.4
Lebanon,Pennsylvania,"141,793",361.83,369.1,153.6
Lehigh,Pennsylvania,"369,318",345.17,1012.5,413.2
Luzerne,Pennsylvania,"317,417",890.33,360.4,167.1
Lycoming,Pennsylvania,"113,299",1228.59,94.5,42.7
McKean,Pennsylvania,"40,625",979.2,44.4,21.7
Mercer,Pennsylvania,"109,424",672.57,173.4,76.9
Mifflin,Pennsylvania,"46,138",411.03,113.6,52.4
Monroe,Pennsylvania,"170,271",608.29,279.2,132.1
Montgomery,Pennsylvania,"830,915",483.04,1655.9,674.3
Montour,Pennsylvania,"18,230",130.24,140.3,61.2
Northampton,Pennsylvania,"305,285",369.67,805.4,325.6
Northumberland,Pennsylvania,"90,843",458.37,206.2,98.4
Perry,Pennsylvania,"46,272",551.45,83.4,37
Philadelphia,Pennsylvania,"1,584,064",134.1,11379.5,4997.5
Pike,Pennsylvania,"55,809",544.96,105.3,70.4
Potter,Pennsylvania,"16,526",1081.32,16.1,12
Schuylkill,Pennsylvania,"141,359",778.63,190.4,89
Snyder,Pennsylvania,"40,372",328.71,120.8,48.8
Somerset,Pennsylvania,"73,447",1074.37,72.4,35.5
Sullivan,Pennsylvania,"6,066",449.94,14.3,14
Susquehanna,Pennsylvania,"40,328",823.43,52.7,27.9
Tioga,Pennsylvania,"40,591",1133.79,37,18.8
Union,Pennsylvania,"44,923",315.98,142.2,53.8
Venango,Pennsylvania,"50,668",674.28,81.5,40.7
Warren,Pennsylvania,"39,191",884.13,47.3,26.6
Washington,Pennsylvania,"206,865",856.99,242.5,108.5
Wayne,Pennsylvania,"51,361",725.6,72.8,43.6
Westmoreland,Pennsylvania,"348,899",1027.55,355.4,163.7
Wyoming,Pennsylvania,"26,794",397.32,71.2,33.4
York,Pennsylvania,"449,058",904.18,481.1,197.6
Bristol,Rhode Island,"48,479",24.16,2064,862.8
Kent,Rhode Island,"164,292",168.53,985.9,437.3
Newport,Rhode Island,"82,082",102.39,809.6,408.2
Providence,Rhode Island,"638,931",409.5,1530.3,646.7
Washington,Rhode Island,"125,577",329.23,385.7,188.9
Abbeville,South Carolina,"24,527",490.48,51.8,24.6
Aiken,South Carolina,"170,872",1071.03,149.5,67.5
Allendale,South Carolina,"8,688",408.09,25.5,11
Anderson,South Carolina,"202,558",715.43,261.6,118.5
Bamberg,South Carolina,"14,066",393.37,40.6,19.6
Barnwell,South Carolina,"20,866",548.39,41.2,19.1
Beaufort,South Carolina,"192,122",576.28,281.5,161.4
Berkeley,South Carolina,"227,907",1098.86,161.8,66.8
Calhoun,South Carolina,"14,553",381.15,39.8,19.3
Charleston,South Carolina,"411,406",916.09,382.3,185.6
Cherokee,South Carolina,"57,300",392.66,140.9,61.1
Chester,South Carolina,"32,244",580.66,57.1,25.3
Chesterfield,South Carolina,"45,650",799.08,58.5,26.9
Clarendon,South Carolina,"33,745",606.94,57.6,28.8
Colleton,South Carolina,"37,677",1056.49,36.8,18.8
Darlington,South Carolina,"66,618",561.15,122.4,54
Dillon,South Carolina,"30,479",404.87,79.2,33.9
Dorchester,South Carolina,"162,809",573.23,238.2,96.3
Edgefield,South Carolina,"27,260",500.41,53.9,21.1
Fairfield,South Carolina,"22,347",686.28,34.9,17
Florence,South Carolina,"138,293",799.96,171.1,73.3
Georgetown,South Carolina,"62,680",813.55,73.9,41.4
Greenville,South Carolina,"523,542",785.12,574.7,249
Greenwood,South Carolina,"70,811",454.73,153.2,68.3
Hampton,South Carolina,"19,222",559.9,37.7,16.3
Horry,South Carolina,"354,081",1133.9,237.5,164
Jasper,South Carolina,"30,073",655.32,37.8,15.7
Kershaw,South Carolina,"66,551",726.56,84.9,37.8
Lancaster,South Carolina,"98,012",549.16,139.6,59.5
Laurens,South Carolina,"67,493",713.8,93.2,43
Lee,South Carolina,"16,828",410.18,46.9,19
Lexington,South Carolina,"298,750",698.91,375.4,163
McCormick,South Carolina,"9,463",359.13,28.5,15.2
